id,conditions,conclusion,priority,category
93,"{""有毒牙"": true, ""爬行动物"": true, ""颈部膨胀"": true}",眼镜蛇,6,reptile
94,"{""有响尾"": true, ""有毒"": true, ""爬行动物"": true}",响尾蛇,6,reptile
95,"{""体型大"": true, ""有背鳍"": true, ""鱼类"": true}",鲨鱼,6,fish
96,"{""观赏"": true, ""颜色鲜艳"": true, ""鱼类"": true}",金鱼,6,fish
97,"{""有须"": true, ""淡水"": true, ""鱼类"": true}",鲤鱼,6,fish
98,"{""会洄游"": true, ""红色"": true, ""鱼类"": true}",三文鱼,6,fish
99,"{""有胡须"": true, ""生活在淡水中"": true, ""鱼类"": true}",鲶鱼,6,fish
100,"{""有尾巴"": true, ""身体扁平"": true, ""鱼类"": true}",比目鱼,6,fish
101,"{""会发光"": true, ""生活在深海"": true, ""鱼类"": true}",灯笼鱼,6,fish
102,"{""体型奇特"": true, ""直立游泳"": true, ""鱼类"": true}",海马,6,fish
103,"{""会采蜜"": true, ""昆虫"": true, ""有黄黑条纹"": true}",蜜蜂,6,insect
104,"{""会飞"": true, ""昆虫"": true, ""有斑点"": true}",蝴蝶,6,insect
105,"{""分工明确"": true, ""昆虫"": true, ""群居"": true}",蚂蚁,6,insect
106,"{""会传播疾病"": true, ""吸血"": true, ""昆虫"": true}",蚊子,6,insect
107,"{""会飞"": true, ""复眼大"": true, ""昆虫"": true}",苍蝇,6,insect
108,"{""幼虫水生"": true, ""昆虫"": true, ""有长翅膀"": true}",蜻蜓,6,insect
109,"{""会叫"": true, ""体型大"": true, ""昆虫"": true}",蝉,6,insect
110,"{""会发光"": true, ""夜行"": true, ""昆虫"": true}",萤火虫,6,insect
111,"{""夜行"": true, ""扁平身体"": true, ""昆虫"": true}",蟑螂,6,insect
112,"{""昆虫"": true, ""有黑点"": true, ""红色背"": true}",瓢虫,6,insect
113,"{""前腿捕捉"": true, ""昆虫"": true, ""绿色"": true}",螳螂,6,insect
114,"{""会鸣叫"": true, ""后腿长"": true, ""昆虫"": true}",蟋蟀,6,insect
115,"{""两栖动物"": true, ""会跳"": true, ""绿色"": true}",青蛙,6,amphibian
116,"{""两栖动物"": true, ""夜行"": true, ""皮肤粗糙"": true}",蟾蜍,6,amphibian
117,"{""两栖动物"": true, ""会游泳"": true, ""有尾巴"": true}",蝾螈,6,amphibian
118,"{""两栖动物"": true, ""体型大"": true, ""叫声大"": true}",娃娃鱼,6,amphibian
119,"{""两栖动物"": true, ""体型小"": true, ""有剧毒"": true}",箭毒蛙,6,amphibian
120,"{""属性0"": true, ""特征0"": true}",熊变种0,3,general
121,"{""属性1"": true, ""特征0"": true, ""特征1"": true}",狼变种0,3,general
122,"{""属性2"": true, ""特征0"": true, ""特征2"": true}",豹变种0,3,general
123,"{""属性3"": true, ""特征0"": true, ""特征3"": true}",鹿变种0,3,general
124,"{""属性4"": true, ""特征0"": true, ""特征4"": true}",象变种0,3,general
125,"{""属性5"": true, ""特征0"": true, ""特征5"": true}",鹰变种0,3,general
126,"{""属性6"": true, ""特征0"": true, ""特征6"": true}",蛇变种0,3,general
127,"{""属性7"": true, ""特征0"": true, ""特征7"": true}",鱼变种0,3,general
128,"{""属性8"": true, ""特征0"": true, ""特征8"": true}",鸟变种0,3,general
129,"{""属性9"": true, ""特征0"": true, ""特征9"": true}",虫变种0,3,general
130,"{""属性1"": true, ""特征0"": true, ""特征1"": true}",熊变种1,3,general
131,"{""属性2"": true, ""特征1"": true}",狼变种1,3,general
132,"{""属性3"": true, ""特征1"": true, ""特征2"": true}",豹变种1,3,general
133,"{""属性4"": true, ""特征1"": true, ""特征3"": true}",鹿变种1,3,general
134,"{""属性5"": true, ""特征1"": true, ""特征4"": true}",象变种1,3,general
135,"{""属性6"": true, ""特征1"": true, ""特征5"": true}",鹰变种1,3,general
136,"{""属性7"": true, ""特征1"": true, ""特征6"": true}",蛇变种1,3,general
137,"{""属性8"": true, ""特征1"": true, ""特征7"": true}",鱼变种1,3,general
138,"{""属性9"": true, ""特征1"": true, ""特征8"": true}",鸟变种1,3,general
139,"{""属性10"": true, ""特征1"": true, ""特征9"": true}",虫变种1,3,general
140,"{""属性2"": true, ""特征0"": true, ""特征2"": true}",熊变种2,3,general
141,"{""属性3"": true, ""特征1"": true, ""特征2"": true}",狼变种2,3,general
142,"{""属性4"": true, ""特征2"": true}",豹变种2,3,general
143,"{""属性5"": true, ""特征2"": true, ""特征3"": true}",鹿变种2,3,general
144,"{""属性6"": true, ""特征2"": true, ""特征4"": true}",象变种2,3,general
145,"{""属性7"": true, ""特征2"": true, ""特征5"": true}",鹰变种2,3,general
146,"{""属性8"": true, ""特征2"": true, ""特征6"": true}",蛇变种2,3,general
147,"{""属性9"": true, ""特征2"": true, ""特征7"": true}",鱼变种2,3,general
148,"{""属性10"": true, ""特征2"": true, ""特征8"": true}",鸟变种2,3,general
149,"{""属性11"": true, ""特征2"": true, ""特征9"": true}",虫变种2,3,general
150,"{""属性3"": true, ""特征0"": true, ""特征3"": true}",熊变种3,3,general
151,"{""属性4"": true, ""特征1"": true, ""特征3"": true}",狼变种3,3,general
152,"{""属性5"": true, ""特征2"": true, ""特征3"": true}",豹变种3,3,general
153,"{""属性6"": true, ""特征3"": true}",鹿变种3,3,general
154,"{""属性7"": true, ""特征3"": true, ""特征4"": true}",象变种3,3,general
155,"{""属性8"": true, ""特征3"": true, ""特征5"": true}",鹰变种3,3,general
156,"{""属性9"": true, ""特征3"": true, ""特征6"": true}",蛇变种3,3,general
157,"{""属性10"": true, ""特征3"": true, ""特征7"": true}",鱼变种3,3,general
158,"{""属性11"": true, ""特征3"": true, ""特征8"": true}",鸟变种3,3,general
159,"{""属性12"": true, ""特征3"": true, ""特征9"": true}",虫变种3,3,general
160,"{""属性4"": true, ""特征0"": true, ""特征4"": true}",熊变种4,3,general
161,"{""属性5"": true, ""特征1"": true, ""特征4"": true}",狼变种4,3,general
162,"{""属性6"": true, ""特征2"": true, ""特征4"": true}",豹变种4,3,general
163,"{""属性7"": true, ""特征3"": true, ""特征4"": true}",鹿变种4,3,general
164,"{""属性8"": true, ""特征4"": true}",象变种4,3,general
165,"{""属性9"": true, ""特征4"": true, ""特征5"": true}",鹰变种4,3,general
166,"{""属性10"": true, ""特征4"": true, ""特征6"": true}",蛇变种4,3,general
167,"{""属性11"": true, ""特征4"": true, ""特征7"": true}",鱼变种4,3,general
168,"{""属性12"": true, ""特征4"": true, ""特征8"": true}",鸟变种4,3,general
169,"{""属性13"": true, ""特征4"": true, ""特征9"": true}",虫变种4,3,general
170,"{""属性5"": true, ""特征0"": true, ""特征5"": true}",熊变种5,3,general
171,"{""属性6"": true, ""特征1"": true, ""特征5"": true}",狼变种5,3,general
172,"{""属性7"": true, ""特征2"": true, ""特征5"": true}",豹变种5,3,general
173,"{""属性8"": true, ""特征3"": true, ""特征5"": true}",鹿变种5,3,general
174,"{""属性9"": true, ""特征4"": true, ""特征5"": true}",象变种5,3,general
175,"{""属性10"": true, ""特征5"": true}",鹰变种5,3,general
176,"{""属性11"": true, ""特征5"": true, ""特征6"": true}",蛇变种5,3,general
177,"{""属性12"": true, ""特征5"": true, ""特征7"": true}",鱼变种5,3,general
178,"{""属性13"": true, ""特征5"": true, ""特征8"": true}",鸟变种5,3,general
179,"{""属性14"": true, ""特征5"": true, ""特征9"": true}",虫变种5,3,general
180,"{""属性6"": true, ""特征0"": true, ""特征6"": true}",熊变种6,3,general
181,"{""属性7"": true, ""特征1"": true, ""特征6"": true}",狼变种6,3,general
182,"{""属性8"": true, ""特征2"": true, ""特征6"": true}",豹变种6,3,general
183,"{""属性9"": true, ""特征3"": true, ""特征6"": true}",鹿变种6,3,general
184,"{""属性10"": true, ""特征4"": true, ""特征6"": true}",象变种6,3,general
185,"{""属性11"": true, ""特征5"": true, ""特征6"": true}",鹰变种6,3,general
186,"{""属性12"": true, ""特征6"": true}",蛇变种6,3,general
187,"{""属性13"": true, ""特征6"": true, ""特征7"": true}",鱼变种6,3,general
188,"{""属性14"": true, ""特征6"": true, ""特征8"": true}",鸟变种6,3,general
189,"{""属性15"": true, ""特征6"": true, ""特征9"": true}",虫变种6,3,general
190,"{""属性7"": true, ""特征0"": true, ""特征7"": true}",熊变种7,3,general
191,"{""属性8"": true, ""特征1"": true, ""特征7"": true}",狼变种7,3,general
192,"{""属性9"": true, ""特征2"": true, ""特征7"": true}",豹变种7,3,general
193,"{""属性10"": true, ""特征3"": true, ""特征7"": true}",鹿变种7,3,general
194,"{""属性11"": true, ""特征4"": true, ""特征7"": true}",象变种7,3,general
195,"{""属性12"": true, ""特征5"": true, ""特征7"": true}",鹰变种7,3,general
196,"{""属性13"": true, ""特征6"": true, ""特征7"": true}",蛇变种7,3,general
197,"{""属性14"": true, ""特征7"": true}",鱼变种7,3,general
198,"{""属性15"": true, ""特征7"": true, ""特征8"": true}",鸟变种7,3,general
199,"{""属性16"": true, ""特征7"": true, ""特征9"": true}",虫变种7,3,general
200,"{""属性8"": true, ""特征0"": true, ""特征8"": true}",熊变种8,3,general
201,"{""属性9"": true, ""特征1"": true, ""特征8"": true}",狼变种8,3,general
202,"{""属性10"": true, ""特征2"": true, ""特征8"": true}",豹变种8,3,general
203,"{""属性11"": true, ""特征3"": true, ""特征8"": true}",鹿变种8,3,general
204,"{""属性12"": true, ""特征4"": true, ""特征8"": true}",象变种8,3,general
205,"{""属性13"": true, ""特征5"": true, ""特征8"": true}",鹰变种8,3,general
206,"{""属性14"": true, ""特征6"": true, ""特征8"": true}",蛇变种8,3,general
207,"{""属性15"": true, ""特征7"": true, ""特征8"": true}",鱼变种8,3,general
208,"{""属性16"": true, ""特征8"": true}",鸟变种8,3,general
209,"{""属性17"": true, ""特征8"": true, ""特征9"": true}",虫变种8,3,general
210,"{""属性9"": true, ""特征0"": true, ""特征9"": true}",熊变种9,3,general
211,"{""属性10"": true, ""特征1"": true, ""特征9"": true}",狼变种9,3,general
212,"{""属性11"": true, ""特征2"": true, ""特征9"": true}",豹变种9,3,general
213,"{""属性12"": true, ""特征3"": true, ""特征9"": true}",鹿变种9,3,general
214,"{""属性13"": true, ""特征4"": true, ""特征9"": true}",象变种9,3,general
215,"{""属性14"": true, ""特征5"": true, ""特征9"": true}",鹰变种9,3,general
216,"{""属性15"": true, ""特征6"": true, ""特征9"": true}",蛇变种9,3,general
217,"{""属性16"": true, ""特征7"": true, ""特征9"": true}",鱼变种9,3,general
218,"{""属性17"": true, ""特征8"": true, ""特征9"": true}",鸟变种9,3,general
219,"{""属性18"": true, ""特征9"": true}",虫变种9,3,general
220,"{""属性10"": true, ""特征0"": true, ""特征10"": true}",熊变种10,3,general
221,"{""属性11"": true, ""特征1"": true, ""特征10"": true}",狼变种10,3,general
222,"{""属性12"": true, ""特征10"": true, ""特征2"": true}",豹变种10,3,general
223,"{""属性13"": true, ""特征10"": true, ""特征3"": true}",鹿变种10,3,general
224,"{""属性14"": true, ""特征10"": true, ""特征4"": true}",象变种10,3,general
225,"{""属性15"": true, ""特征10"": true, ""特征5"": true}",鹰变种10,3,general
226,"{""属性16"": true, ""特征10"": true, ""特征6"": true}",蛇变种10,3,general
227,"{""属性17"": true, ""特征10"": true, ""特征7"": true}",鱼变种10,3,general
228,"{""属性18"": true, ""特征10"": true, ""特征8"": true}",鸟变种10,3,general
229,"{""属性19"": true, ""特征10"": true, ""特征9"": true}",虫变种10,3,general
230,"{""属性11"": true, ""特征0"": true, ""特征11"": true}",熊变种11,3,general
231,"{""属性12"": true, ""特征1"": true, ""特征11"": true}",狼变种11,3,general
232,"{""属性13"": true, ""特征11"": true, ""特征2"": true}",豹变种11,3,general
233,"{""属性14"": true, ""特征11"": true, ""特征3"": true}",鹿变种11,3,general
234,"{""属性15"": true, ""特征11"": true, ""特征4"": true}",象变种11,3,general
235,"{""属性16"": true, ""特征11"": true, ""特征5"": true}",鹰变种11,3,general
236,"{""属性17"": true, ""特征11"": true, ""特征6"": true}",蛇变种11,3,general
237,"{""属性18"": true, ""特征11"": true, ""特征7"": true}",鱼变种11,3,general
238,"{""属性19"": true, ""特征11"": true, ""特征8"": true}",鸟变种11,3,general
239,"{""属性20"": true, ""特征11"": true, ""特征9"": true}",虫变种11,3,general
240,"{""属性12"": true, ""特征0"": true, ""特征12"": true}",熊变种12,3,general
241,"{""属性13"": true, ""特征1"": true, ""特征12"": true}",狼变种12,3,general
242,"{""属性14"": true, ""特征12"": true, ""特征2"": true}",豹变种12,3,general
243,"{""属性15"": true, ""特征12"": true, ""特征3"": true}",鹿变种12,3,general
244,"{""属性16"": true, ""特征12"": true, ""特征4"": true}",象变种12,3,general
245,"{""属性17"": true, ""特征12"": true, ""特征5"": true}",鹰变种12,3,general
246,"{""属性18"": true, ""特征12"": true, ""特征6"": true}",蛇变种12,3,general
247,"{""属性19"": true, ""特征12"": true, ""特征7"": true}",鱼变种12,3,general
248,"{""属性20"": true, ""特征12"": true, ""特征8"": true}",鸟变种12,3,general
249,"{""属性21"": true, ""特征12"": true, ""特征9"": true}",虫变种12,3,general
250,"{""属性13"": true, ""特征0"": true, ""特征13"": true}",熊变种13,3,general
251,"{""属性14"": true, ""特征1"": true, ""特征13"": true}",狼变种13,3,general
252,"{""属性15"": true, ""特征13"": true, ""特征2"": true}",豹变种13,3,general
253,"{""属性16"": true, ""特征13"": true, ""特征3"": true}",鹿变种13,3,general
254,"{""属性17"": true, ""特征13"": true, ""特征4"": true}",象变种13,3,general
255,"{""属性18"": true, ""特征13"": true, ""特征5"": true}",鹰变种13,3,general
256,"{""属性19"": true, ""特征13"": true, ""特征6"": true}",蛇变种13,3,general
257,"{""属性20"": true, ""特征13"": true, ""特征7"": true}",鱼变种13,3,general
258,"{""属性21"": true, ""特征13"": true, ""特征8"": true}",鸟变种13,3,general
259,"{""属性22"": true, ""特征13"": true, ""特征9"": true}",虫变种13,3,general
260,"{""属性14"": true, ""特征0"": true, ""特征14"": true}",熊变种14,3,general
261,"{""属性15"": true, ""特征1"": true, ""特征14"": true}",狼变种14,3,general
262,"{""属性16"": true, ""特征14"": true, ""特征2"": true}",豹变种14,3,general
263,"{""属性17"": true, ""特征14"": true, ""特征3"": true}",鹿变种14,3,general
264,"{""属性18"": true, ""特征14"": true, ""特征4"": true}",象变种14,3,general
265,"{""属性19"": true, ""特征14"": true, ""特征5"": true}",鹰变种14,3,general
266,"{""属性20"": true, ""特征14"": true, ""特征6"": true}",蛇变种14,3,general
267,"{""属性21"": true, ""特征14"": true, ""特征7"": true}",鱼变种14,3,general
268,"{""属性22"": true, ""特征14"": true, ""特征8"": true}",鸟变种14,3,general
269,"{""属性23"": true, ""特征14"": true, ""特征9"": true}",虫变种14,3,general
270,"{""属性15"": true, ""特征0"": true, ""特征15"": true}",熊变种15,3,general
271,"{""属性16"": true, ""特征1"": true, ""特征15"": true}",狼变种15,3,general
272,"{""属性17"": true, ""特征15"": true, ""特征2"": true}",豹变种15,3,general
273,"{""属性18"": true, ""特征15"": true, ""特征3"": true}",鹿变种15,3,general
274,"{""属性19"": true, ""特征15"": true, ""特征4"": true}",象变种15,3,general
275,"{""属性20"": true, ""特征15"": true, ""特征5"": true}",鹰变种15,3,general
276,"{""属性21"": true, ""特征15"": true, ""特征6"": true}",蛇变种15,3,general
277,"{""属性22"": true, ""特征15"": true, ""特征7"": true}",鱼变种15,3,general
278,"{""属性23"": true, ""特征15"": true, ""特征8"": true}",鸟变种15,3,general
279,"{""属性24"": true, ""特征15"": true, ""特征9"": true}",虫变种15,3,general
280,"{""属性16"": true, ""特征0"": true, ""特征16"": true}",熊变种16,3,general
281,"{""属性17"": true, ""特征1"": true, ""特征16"": true}",狼变种16,3,general
282,"{""属性18"": true, ""特征16"": true, ""特征2"": true}",豹变种16,3,general
283,"{""属性19"": true, ""特征16"": true, ""特征3"": true}",鹿变种16,3,general
284,"{""属性20"": true, ""特征16"": true, ""特征4"": true}",象变种16,3,general
285,"{""属性21"": true, ""特征16"": true, ""特征5"": true}",鹰变种16,3,general
286,"{""属性22"": true, ""特征16"": true, ""特征6"": true}",蛇变种16,3,general
287,"{""属性23"": true, ""特征16"": true, ""特征7"": true}",鱼变种16,3,general
288,"{""属性24"": true, ""特征16"": true, ""特征8"": true}",鸟变种16,3,general
289,"{""属性25"": true, ""特征16"": true, ""特征9"": true}",虫变种16,3,general
290,"{""属性17"": true, ""特征0"": true, ""特征17"": true}",熊变种17,3,general
291,"{""属性18"": true, ""特征1"": true, ""特征17"": true}",狼变种17,3,general
292,"{""属性19"": true, ""特征17"": true, ""特征2"": true}",豹变种17,3,general
293,"{""属性20"": true, ""特征17"": true, ""特征3"": true}",鹿变种17,3,general
294,"{""属性21"": true, ""特征17"": true, ""特征4"": true}",象变种17,3,general
295,"{""属性22"": true, ""特征17"": true, ""特征5"": true}",鹰变种17,3,general
296,"{""属性23"": true, ""特征17"": true, ""特征6"": true}",蛇变种17,3,general
297,"{""属性24"": true, ""特征17"": true, ""特征7"": true}",鱼变种17,3,general
298,"{""属性25"": true, ""特征17"": true, ""特征8"": true}",鸟变种17,3,general
299,"{""属性26"": true, ""特征17"": true, ""特征9"": true}",虫变种17,3,general
300,"{""属性18"": true, ""特征0"": true, ""特征18"": true}",熊变种18,3,general
301,"{""属性19"": true, ""特征1"": true, ""特征18"": true}",狼变种18,3,general
302,"{""属性20"": true, ""特征18"": true, ""特征2"": true}",豹变种18,3,general
303,"{""属性21"": true, ""特征18"": true, ""特征3"": true}",鹿变种18,3,general
304,"{""属性22"": true, ""特征18"": true, ""特征4"": true}",象变种18,3,general
305,"{""属性23"": true, ""特征18"": true, ""特征5"": true}",鹰变种18,3,general
306,"{""属性24"": true, ""特征18"": true, ""特征6"": true}",蛇变种18,3,general
307,"{""属性25"": true, ""特征18"": true, ""特征7"": true}",鱼变种18,3,general
308,"{""属性26"": true, ""特征18"": true, ""特征8"": true}",鸟变种18,3,general
309,"{""属性27"": true, ""特征18"": true, ""特征9"": true}",虫变种18,3,general
310,"{""属性19"": true, ""特征0"": true, ""特征19"": true}",熊变种19,3,general
311,"{""属性20"": true, ""特征1"": true, ""特征19"": true}",狼变种19,3,general
312,"{""属性21"": true, ""特征19"": true, ""特征2"": true}",豹变种19,3,general
313,"{""属性22"": true, ""特征19"": true, ""特征3"": true}",鹿变种19,3,general
314,"{""属性23"": true, ""特征19"": true, ""特征4"": true}",象变种19,3,general
315,"{""属性24"": true, ""特征19"": true, ""特征5"": true}",鹰变种19,3,general
316,"{""属性25"": true, ""特征19"": true, ""特征6"": true}",蛇变种19,3,general
317,"{""属性26"": true, ""特征19"": true, ""特征7"": true}",鱼变种19,3,general
318,"{""属性27"": true, ""特征19"": true, ""特征8"": true}",鸟变种19,3,general
319,"{""属性28"": true, ""特征19"": true, ""特征9"": true}",虫变种19,3,general
320,"{""属性20"": true, ""特征0"": true, ""特征20"": true}",熊变种20,3,general
321,"{""属性21"": true, ""特征1"": true, ""特征20"": true}",狼变种20,3,general
322,"{""属性22"": true, ""特征2"": true, ""特征20"": true}",豹变种20,3,general
323,"{""属性23"": true, ""特征20"": true, ""特征3"": true}",鹿变种20,3,general
324,"{""属性24"": true, ""特征20"": true, ""特征4"": true}",象变种20,3,general
325,"{""属性25"": true, ""特征20"": true, ""特征5"": true}",鹰变种20,3,general
326,"{""属性26"": true, ""特征20"": true, ""特征6"": true}",蛇变种20,3,general
